model,device,gpu_name,d_model,learning_rate,epochs,total_params,trainable_params,epoch,loss_mean,loss_std,entropy,grad_norm,acc_carry0,acc_carry1
CarryEntity,cuda,NVIDIA GeForce GTX 1650,64,0.001,10,13250,13250,,,,,,,
,,,,,,,,1,0.015788884093812752,0.251674185846246,0.01521575536982993,0.2680942461464631,0.99495,0.99475
,,,,,,,,2,0.0036988371396800674,0.18293334857618734,0.000649367945783715,0.054545731783789825,0.9993,0.9993
,,,,,,,,3,0.0020577727217747045,0.15515731096092425,0.0002881194443751419,0.02843648768962941,0.99965,0.9997
,,,,,,,,4,0.0032553132729889185,0.2009980928262983,0.00038717098747627213,0.04579283478788023,0.99945,0.9996
,,,,,,,,5,0.002160160153926828,0.13233793315148473,0.0005133743525610561,0.03655397530235218,0.99965,0.99955
,,,,,,,,6,0.00209285876143633,0.0841714906854147,0.0008440924230457682,0.055209211512905816,0.9993,0.99935
,,,,,,,,7,0.0025618746791947556,0.1382538114707766,0.0007537804711000762,0.056841904813850944,0.99935,0.99945
,,,,,,,,8,0.0032298173898397827,0.15585464716193867,0.0009845869504444633,0.06538795223012928,0.9995,0.99905
,,,,,,,,9,0.0052084717544896375,0.23560464188551694,0.001147172324627495,0.08268692859447861,0.99895,0.99945
,,,,,,,,10,0.003400950401687696,0.1873426755711316,0.0006849016953226361,0.056786393897105006,0.99955,0.9993
