model,device,gpu_name,d_model,learning_rate,epochs,total_params,trainable_params,epoch,loss_mean,grad_norm
MulCarryEntity,cuda,NVIDIA GeForce GTX 1650,32,0.001,60,4009,4009,,,
,,,,,,,,1,1.3113250380190504,7.922319529320682
,,,,,,,,2,0.9519100901912962,7.200471169967334
,,,,,,,,3,0.7060022199449506,7.597056227331482
,,,,,,,,4,0.5816316470791701,8.239458804267013
,,,,,,,,5,0.4657722836932674,8.101676218848365
,,,,,,,,6,0.37165916456392856,7.682587076452513
,,,,,,,,7,0.32368470832029855,7.661909235385155
,,,,,,,,8,0.2736074738595446,7.193493110077686
,,,,,,,,9,0.24838519680677298,7.0804691936715995
,,,,,,,,10,0.2115659479152624,6.505888439175741
,,,,,,,,11,0.19540076395227668,6.162646500257061
,,,,,,,,12,0.14848449821808501,5.058844053497068
,,,,,,,,13,0.12488164299649608,4.534601159288364
,,,,,,,,14,0.11246871596983665,4.2607690684308395
,,,,,,,,15,0.10367525332285592,4.07338000836822
,,,,,,,,16,0.09731852655456931,3.9311948585133085
,,,,,,,,17,0.092083892485537,3.801116411229062
,,,,,,,,18,0.08603057802812439,3.665151659172077
,,,,,,,,19,0.08165189812856688,3.5575608797328213
,,,,,,,,20,0.07711390582912167,3.436995782199852
,,,,,,,,21,0.06920904146374532,3.1174994427660847
,,,,,,,,22,0.0649651273494489,2.9951193307065
,,,,,,,,23,0.06381490392115459,2.948036608408089
,,,,,,,,24,0.06256001374137878,2.9203308674031585
,,,,,,,,25,0.06145639005219296,2.8718326709685185
,,,,,,,,26,0.06027030574731165,2.8481068029426244
,,,,,,,,27,0.059325596598079004,2.810314551527495
,,,,,,,,28,0.05813675599078635,2.7761971251271347
,,,,,,,,29,0.057199050856388566,2.7432900196058227
,,,,,,,,30,0.05616617977257406,2.7151660549201915
,,,,,,,,31,0.05385221256605279,2.5883787487183483
,,,,,,,,32,0.05325804030054672,2.589827377821825
,,,,,,,,33,0.0529130814284093,2.5875104394331454
,,,,,,,,34,0.05263224115064169,2.572878392089658
,,,,,,,,35,0.05233208650857254,2.5650734708932923
,,,,,,,,36,0.05208278043118018,2.5523005504056133
,,,,,,,,37,0.05179258898303132,2.5429790003589674
,,,,,,,,38,0.0515289624293041,2.5322411587431204
,,,,,,,,39,0.05125727354901382,2.5291205462548683
,,,,,,,,40,0.05100625197248398,2.5153413405654867
,,,,,,,,41,0.050279499989163624,2.465981418909087
,,,,,,,,42,0.050167352671280245,2.4735179214354557
,,,,,,,,43,0.05007434216161824,2.4780954278084932
,,,,,,,,44,0.04998886016778751,2.478108175277187
,,,,,,,,45,0.049908030201638226,2.4717542147470652
,,,,,,,,46,0.04982900947473922,2.470722734621773
,,,,,,,,47,0.049744735993471824,2.4697638279760055
,,,,,,,,48,0.04966540680111608,2.4647684606673304
,,,,,,,,49,0.049588651707068845,2.4677641389208946
,,,,,,,,50,0.04951112632217454,2.456676108772251
,,,,,,,,51,0.04928452269410425,2.436356116411783
,,,,,,,,52,0.0492493884833034,2.4352976295470095
,,,,,,,,53,0.0492156438845117,2.44138959969975
,,,,,,,,54,0.04918343101755359,2.4454430956426156
,,,,,,,,55,0.04915226004950284,2.4424753958297254
,,,,,,,,56,0.049120093887664466,2.4516724641560823
,,,,,,,,57,0.049091083551848304,2.440003221132691
,,,,,,,,58,0.049059726634177736,2.445768116308451
,,,,,,,,59,0.04902955650224947,2.4372883159405068
,,,,,,,,60,0.04899807388890555,2.447255106659838
